individu;groupe
2;7
3;3
5;6
6;6
8;1
10;1
12;3
13;7
14;6
15;4
16;8
19;7
20;10
23;4
27;10
30;7
31;3
32;1
34;5
35;7
36;6
38;7
41;3
47;5
48;3
50;3
52;4
54;3
55;10
59;1
61;4
63;1
64;5
71;10
73;5
74;3
75;3
77;10
79;3
80;10
81;8
83;3
84;7
85;5
87;10
88;6
89;10
90;6
91;9
92;4
93;9
94;3
96;7
97;9
98;3
99;7
100;5
101;10
102;3
103;8
104;7
105;7
106;8
107;10
108;6
110;3
111;3
112;3
113;7
114;6
117;6
118;7
119;10
120;7
122;3
123;7
124;4
126;7
128;1
129;2
130;10
131;4
132;10
133;6
134;6
135;5
136;6
137;5
138;9
139;3
140;9
144;7
145;3
146;10
147;4
148;5
150;10
151;9
152;10
153;10
154;10
155;9
158;9
159;8
160;7
161;6
162;4
163;3
164;1
165;4
166;10
167;6
168;10
169;3
170;10
171;7
172;3
174;3
175;3
176;9
179;1
180;9
181;7
182;9
183;1
185;3
186;5
187;9
188;4
189;5
190;4
191;3
192;4
193;10
194;3
195;6
196;3
198;3
199;3
200;7
201;3
202;5
203;3
204;3
205;6
206;3
207;3
208;3
212;3
214;6
215;3
216;7
217;10
219;5
220;5
221;9
222;3
223;1
224;3
225;5
